Team,Championship ID,Engine Supplier,Brakes Supplier,Fuel Supplier,Materials Supplier,Battery Supplier,Advanced ERS Supplier
2,0,4,9,14,19,80,137
3,0,4,9,14,18,80,137
4,0,4,9,14,18,80,137
5,0,4,9,14,18,80,137
6,0,4,9,14,18,80,137
7,0,4,9,14,18,80,137
8,0,4,9,14,18,80,137
9,0,4,9,14,19,80,137
10,1,23,27,31,35,84,140
11,1,23,27,31,35,84,140
12,1,23,27,31,35,84,140
13,1,23,27,31,35,84,140
14,1,23,27,31,35,84,140
15,1,23,27,31,35,84,140
16,1,23,27,31,35,84,140
17,1,23,27,31,35,84,140
18,1,23,27,31,35,84,140
19,1,23,27,31,35,84,140
20,2,36,41,44,47,86,143
21,2,36,41,44,47,86,143
22,2,36,41,44,47,86,143
23,2,36,41,44,47,86,143
24,2,36,41,44,47,86,143
25,2,36,41,44,47,86,143
26,2,36,41,44,47,86,143
27,2,36,41,44,47,86,143
28,2,36,41,44,47,86,143
29,2,36,41,44,47,86,143
30,2,36,41,44,47,86,143
31,2,36,41,44,47,86,143
32,3,51,55,59,63,91,146
33,3,51,55,59,63,91,146
34,3,51,55,59,63,91,146
35,3,51,55,59,63,91,146
36,3,51,55,59,63,91,146
37,3,51,55,59,63,91,146
38,3,51,55,59,63,91,146
39,3,51,55,59,63,91,146
40,4,66,69,72,75,92,149
41,4,66,69,72,75,92,149
42,4,66,69,72,75,92,149
43,4,66,69,72,75,92,149
44,4,66,69,72,75,92,149
45,4,66,69,72,75,92,149
46,4,66,69,72,75,92,149
47,4,66,69,72,75,92,149
48,4,66,69,72,75,92,149
49,4,66,69,72,75,92,149
50,4,66,69,72,75,92,149
51,4,66,69,72,75,92,131
52,5,105,109,113,117,92,131
53,5,105,109,113,117,92,131
54,5,105,109,113,117,92,131
55,5,105,109,113,117,92,131
56,5,105,109,113,117,92,131
57,5,105,109,113,117,92,131
58,5,120,123,126,129,92,131
59,5,120,123,126,129,92,131
60,5,120,123,126,129,92,131
61,5,120,123,126,129,92,131
62,5,120,123,126,129,92,131
63,5,120,123,126,129,92,131
