Part Type,Team,TS,ACC,DEC,HSC,MSC,LSC,Reliability,Condition,Age,Performance Improvability
Engine,2,600,,,,,,75,75,1,5
Engine,2,600,,,,,,75,75,1,5
Engine,3,600,,,,,,75,75,1,5
Engine,3,600,,,,,,75,75,1,5
Engine,4,600,,,,,,75,75,1,5
Engine,4,600,,,,,,75,75,1,5
Engine,5,600,,,,,,75,75,1,5
Engine,5,600,,,,,,75,75,1,5
Engine,6,600,,,,,,75,75,1,5
Engine,6,600,,,,,,75,75,1,5
Engine,7,600,,,,,,75,75,1,5
Engine,7,600,,,,,,75,75,1,5
Engine,8,600,,,,,,75,75,1,5
Engine,8,600,,,,,,75,75,1,5
Engine,9,600,,,,,,75,75,1,5
Engine,9,600,,,,,,75,75,1,5
Engine,10,200,,,,,,75,75,1,5
Engine,10,200,,,,,,75,75,1,5
Engine,11,200,,,,,,75,75,1,5
Engine,11,200,,,,,,75,75,1,5
Engine,12,200,,,,,,75,75,1,5
Engine,12,200,,,,,,75,75,1,5
Engine,13,200,,,,,,75,75,1,5
Engine,13,200,,,,,,75,75,1,5
Engine,14,200,,,,,,75,75,1,5
Engine,14,200,,,,,,75,75,1,5
Engine,15,200,,,,,,75,75,1,5
Engine,15,200,,,,,,75,75,1,5
Engine,16,200,,,,,,75,75,1,5
Engine,16,200,,,,,,75,75,1,5
Engine,17,200,,,,,,75,75,1,5
Engine,17,200,,,,,,75,75,1,5
Engine,18,200,,,,,,75,75,1,5
Engine,18,200,,,,,,75,75,1,5
Engine,19,200,,,,,,75,75,1,5
Engine,19,200,,,,,,75,75,1,5
Engine,20,0,,,,,,75,75,1,5
Engine,20,0,,,,,,75,75,1,5
Engine,21,0,,,,,,75,75,1,5
Engine,21,0,,,,,,75,75,1,5
Engine,22,0,,,,,,75,75,1,5
Engine,22,0,,,,,,75,75,1,5
Engine,23,0,,,,,,75,75,1,5
Engine,23,0,,,,,,75,75,1,5
Engine,24,0,,,,,,75,75,1,5
Engine,24,0,,,,,,75,75,1,5
Engine,25,0,,,,,,75,75,1,5
Engine,25,0,,,,,,75,75,1,5
Engine,26,0,,,,,,75,75,1,5
Engine,26,0,,,,,,75,75,1,5
