Team,Championship ID,Engine Supplier,Brakes Supplier,Fuel Supplier,Materials Supplier,Battery Supplier,Advanced ERS Supplier
2,0,156,7,10,16,80,137
3,0,1,8,11,15,80,137
4,0,153,6,10,15,80,137
5,0,152,6,10,17,80,137
6,0,1,8,12,16,80,137
7,0,151,7,11,16,80,137
8,0,0,9,13,17,80,137
9,0,4,8,13,19,80,137
10,0,2,9,14,18,80,137
11,0,157,9,14,19,80,137
12,1,154,24,28,32,84,140
13,1,21,24,29,32,84,140
14,1,23,24,29,35,84,140
15,1,21,25,28,32,84,140
16,1,23,25,28,32,84,140
17,1,20,25,29,33,84,140
18,1,22,27,31,35,84,140
19,1,23,26,29,35,84,140
20,1,20,27,31,35,84,140
21,1,154,26,30,33,84,140
22,2,37,39,42,45,86,143
23,2,36,39,42,45,86,143
24,2,38,39,44,47,86,143
25,2,36,41,42,47,86,143
26,2,155,43,40,36,86,143
27,2,155,39,44,47,86,143
28,2,37,41,42,47,86,143
29,2,37,41,44,47,86,143
30,2,38,40,44,47,86,143
31,2,36,39,44,47,86,143
32,3,51,53,56,60,88,146
33,3,49,53,56,60,89,146
34,3,48,54,59,61,91,146
35,3,49,52,59,61,88,146
36,3,49,55,59,60,90,146
37,3,50,54,58,62,91,146
38,3,50,55,58,63,90,146
39,3,51,54,59,63,91,146
40,3,50,55,59,63,90,146
41,3,51,55,59,63,91,146
42,4,64,67,70,73,92,149
43,4,64,67,70,73,93,149
44,4,64,68,71,73,92,149
45,4,65,67,72,73,93,149
46,4,64,67,72,75,93,149
47,4,65,67,72,75,93,149
48,4,64,68,71,75,94,149
49,4,65,69,72,75,94,149
50,4,65,67,72,75,93,149
51,4,66,69,70,75,92,149
52,5,102,107,112,114,92,131
53,5,104,106,111,115,92,132
54,5,102,107,110,116,92,130
55,5,103,108,110,114,92,130
56,5,105,109,113,117,92,131
57,5,105,106,112,116,92,132
58,5,118,123,126,127,92,131
59,5,119,121,124,129,92,131
60,5,119,122,125,128,92,131
61,5,120,121,126,128,92,131
62,5,120,121,125,128,92,131
63,5,118,123,124,127,92,131
