Part Type,Company Name,ID,Logo ID,Price,Fuel Efficiency,Improveability,Tyre Wear,Tyre Heating,Overcharge Zone,Starting Charge,Harvest Efficiency Min,Harvest Efficiency Max,Hybrid Gates,Power Gates,Charge Size,BatteryType,Min Boundary,Max Boundary,Starting Level Min,Starting Level Max,Tier,Team Discount,Discount Amount,Teams That Cannot Buy This,Description
Engine,V12 Turbo,0,104,8,2.5,8,NA,NA,,,,,,,,,NoseHeight = .05; RearPackage = .2,,20,60,1,2; 4,5;2.5,5;6,
Engine,V10,1,105,6.5,6,4,NA,NA,,,,,,,,,NoseHeight = 0; RearPackage = .1,,15,45,1,5,5,2;6,
Engine,V8 Turbo,2,106,5,4.5,2.5,NA,NA,,,,,,,,,NoseHeight = 0; RearPackage = .175,,20,40,1,6,5,2;5,
Engine,V6 Turbo,3,108,8,6,4,NA,NA,,,,,,,,,NoseHeight = .25; RearPackage = 0,,8,30,1,,,,
Engine,V8 ,4,107,4,5,2,NA,NA,,,,,,,,,NoseHeight = .25; RearPackage = .25,,10,25,1,,,,
Engine,W12,151,102,10,2,8,NA,NA,,,,,,,,,NoseHeight = .05; RearPackage = 0,,20,75,1,2; 4; 7,5;2.5;3,5,
Engine,Flat 12,152,103,7,1,5,NA,NA,,,,,,,,,NoseHeight = .05; RearPackage = 0.25,,15,55,1,5; 8,5;2.5,,
Engine,V6 Turbo Hybrid,156,111,9,8,7,NA,NA,,,,,,,,,NoseHeight = .15; RearPackage = 0.1,,25,50,1,,,,
Engine,V8 Hybrid,157,110,5.75,7,5,NA,NA,,,,,,,,,NoseHeight = .2; RearPackage = 0,,15,45,1,,,,
Engine,V4 Turbo,153,109,8.5,8,6,NA,NA,,,,,,,,,NoseHeight = .05; RearPackage = 0,,20,80,1,11; 6,5;2.5,5,
ECU,Micronix Racing,5,1,9.5,NA,NA,1.5,8,,,,,,,,,,NoseHeight = .15; RearPackage = 0,,,1,,,,
ECU,Matsutronics,6,2,7,NA,NA,2.5,4,,,,,,,,,,NoseHeight = .05; RearPackage = .1,,,1,2,2.5,,
ECU,JP Race Technology,7,3,5,NA,NA,1,4,,,,,,,,,,NoseHeight = .2; RearPackage = .1,,,1,,,,
ECU,Otsuno,8,4,2.5,NA,NA,1.5,3,,,,,,,,,,NoseHeight = .15; RearPackage = .15,,,1,19,5,,
ECU,American Raceware,9,5,1,NA,NA,0.5,3,,,,,,,,,,NoseHeight = .25; RearPackage = .15,,,1,13,2.5,,
Fuel,Imperial Petroleum,10,1,8.5,8,1.5,NA,NA,,,,,,,,,NoseHeight = 0; RearPackage = .15,,,,1,,,,
Fuel,Russian Oil,11,2,6.5,4,2.5,NA,NA,,,,,,,,,NoseHeight = .1; RearPackage = .05,,,,1,16; 26,2.5; 2.5,,
