Name,Nationality,Logo Index,Category,Prestige,Slot Sponsoring,Team sponsoring,Upfront Value,HomeBonus Value,Bonus Difficulty,Bonus Target,Bonus Amount,Per Race Payment,Deal Length,DealTotal,DealValue,Offer Timer,Offer Cooldown,Starting Cooldown,Days After,Available in,Liaison First Name,Liaison Last Name,Gender,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair
Ambrosini,Italy,1,Food,4,4,5; 35,1.7,0,,,,1.2,10,7,0.7,3,115,66,0,66,Leon,Foster,M,1,3,7,0,0,0
Max Velocity,UnitedStates,2,Automotive,5,4,2; 33; 52,3,2,,,,1.5,10,9,0.9,2,107,95,0,95,Connor,Gunn,M,3,2,9,0,0,0
Cortés Tire Co,UnitedStates,3,Automotive,4,4,3; 8; 32,4,0,,,,1.25,12,6.5,0.433,2,86,38,0,38,Victoria,Hester,F,3,5,7,0,0,0
SeppOil,Norway,4,Oil,4,4,,4.5,0,,,,1,11,6.5,0.591,1,83,60,0,60,Jairo,Chalifou,M,1,6,5,0,0,0
Kashima,Japan,5,Media,3,4,7; 6;37; 44; 36; 55,0,3,,,,0.85,12,3.9,0.3,2,61,0,0,0,Kayley,Corsa,F,1,5,9,0,0,0
FWK,Japan,6,Technology,3,4,34; 43; 49; 53,1.4,0,,,,0.75,8,2.44,0.305,3,64,29,0,29,Korbin,Foran,M,5,4,7,0,0,0
Bango,Australia,8,Food,2,4,12,1.5,0,,,,0.55,10,1.5,0.136,3,36,0,0,0,Jamie,Martin,F,2,2,7,0,0,0
Eve,China,9,Technology,2,4,9; 59,0.5,2.4,,,,0.65,9,1.75,0.194,2,35,12,0,12,Caiden,Burroughs,M,1,4,7,0,0,0
Carne Blanco,Argentina,10,Food,1,4,29; 50; 47,0.35,0,,,,0.45,10,2.2,0.22,2,8,0,0,0,Layne,Searle,M,4,1,8,0,0,0
Viking,Sweden,11,Oil,5,3,2,3,0,5,2,1.4,,4,7.6,1.9,3,123,28,0,28,Marshall,Jobin,M,0,5,6,0,0,0
Stonewell Bank,UK,12,Banking,5,3,52,1.3,3,5,2,1.8,,5,9,1.8,4,139,135,0,135,Lana,Castle,F,4,5,7,0,0,0
Cupcake,UnitedStates,13,Food,4,3,38,0.7,0,5,2,1.5,,5,7.9,1.58,1,90,58,0,58,Donte,Hulin,M,2,6,7,0,0,0
Access Sport,UK,14,Charity,4,3,5,0.5,0,5,2,1.7,,4,6.8,1.7,2,101,0,0,0,Bruno,Crosby,M,1,6,4,0,0,0
Ishikawa Malt Whisky,Japan,15,Alcoholic Drinks,3,3,9; 43; 42,1.1,0,5,2,1.2,,5,7,1.4,2,63,33,0,33,Antony,Gronovius,M,1,3,2,0,0,0
Transantarctic Clothing,UnitedStates,16,Clothing,3,3,4; 58,0.75,4,5,2,1.4,,6,8.6,1.433,3,51,22,0,22,Garrett,Homer,M,2,3,6,0,0,0
Sangju Technology,SouthKorea,17,Technology,2,3,61,0.55,0,4,4,1,,7,7,1,1,24,0,0,0,Ace,Huntsinger,M,1,2,2,1,0,0
Northern Harbour Clothing,UK,18,Clothing,2,3,10;48,1.5,0,4,4,0.88,,6,6.53,1.088,3,30,7,0,7,Enzo,Kately,M,1,7,0,0,0,0
Notifly,RussianFederation,19,Technology,1,3,,0.7,3.2,4,4,0.9,,5,2.1,0.7,2,13,0,0,0,Jack,Gundry,M,1,1,2,0,0,0
Wonderluck,Germany,20,Games,1,3,26; 22,0.6,2,4,4,0.75,,4,2.7,0.675,1,8,0,0,0,Adolfo,Kortregt,M,1,7,5,0,0,0
Broadlake,Canada,21,Alcoholic Drinks,4,6,35,1.15,0,,,,1.2,12,10.75,0.717,2,127,114,0,114,Dallas,Normandin,M,0,7,5,0,0,0
Zygon,Singapore,22,Technology,4,6,2; 54,1.1,3.1,,,,1.05,6,8.25,1.375,1,134,12,0,12,Seraphina,Darcy,F,1,1,9,0,0,0
Hypertech,RussianFederation,23,Technology,4,6,53; 60,1.65,0,,,,1.1,12,7.5,0.536,2,101,0,0,0,Karter,Hoite,M,4,5,9,0,0,0
Old George,UK,24,Alcoholic Drinks,3,6,6; 63,0.75,0,,,,0.95,10,3.7,0.37,3,75,12,0,12,James,Evertsen,M,3,5,8,0,0,0
Balmina,Spain,25,Appliances,3,6,,3,0,,,,0.85,12,4,0.333,4,67,0,0,0,Keenan,Core,M,3,3,9,0,0,0
Silverado,Spain,26,Automotive,3,6,8; 44; 49; 62,5,0,,,,1,8,2.35,0.294,2,54,49,0,49,Jill,Harrison,F,5,3,6,0,0,0
