ID,Trait Name,Name ID,Custom Trait Name,Text ID,Icon Path,Icon,Part,Level,Type,Activation Requirement,Risk Level,Stat Boost,Max Stat Boost,Reliability Boost,Max Reliability Boost,Production Time,Cost,Red Zone,Bonus,Bonus Type,AggressiveTeamWeightings,PassiveTeamWeightings
4,{Stat}: +25 to Max,PSG_10004943,,,PartIconID4,2,All,1,Stock,,,,25,,,,,,,,0.7,0.2
5,"{Stat}: +25 to Max
{Stat}: +15
Risk Level: + 1",PSG_10004944,,,PartIconID5,6,All,1,Risky,,1,15,25,,,,,,,,0.2,0
6,Red Zone: -10%,PSG_10004945,,,PartIconID6,0,All,1,Stock,,,,,,,,,-10,,,0.2,0.4
8,"{Stat}: +25
Red Zone: -5%
Risk Level: +1",PSG_10004947,,,PartIconID8,7,All,1,Risky,,1,25,,,,,,-5,,,0.1,0
18,"{Stat}: -20 to Max
{Stat}: +40",PSG_10004956,,,PartIconID18,2,All,3,Stock,,,40,-20,,,,,,,,0.5,0.5
22,"Build Time: +3 Days
{Stat}: +115
Red Zone: +50%",PSG_10004965,,,PartIconID69,2,All,5,Stock,,,115,,,,8,,50,,,0.6,0.2
25,"{Stat}: +65
Red Zone: -20%
Cost: {Cost}",PSG_10004967,,,PartIconID25,5,All,5,Stock,,,65,,,,,"1,750,000.00",-20,,,0.7,0.7
29,Build Time: -1 Day,PSG_10004971,,,EngineerIconBuildTime29,2,All,1,Engineer,,,,,,,-1,,,,,0,0
30,"Build Time: -2 Days
For: Each Million Spent",PSG_10004972,,,EngineerIconTimeMoney30,2,All,1,Engineer,,,,,,,,,,-2,TimeReductionPerMillionSpent,0,0
32,"Build Time: Take No Time
Components: Good",PSG_10004973,,,EngineerIconNoTime32,6,All,3,Engineer,,,,,,,,,,2,ComponentLevelAddNoDays,0,0
33,"Build Time: -2 Days
Cost: {Cost}",PSG_10004974,,,EngineerIconTimeMoney30,6,All,2,Engineer,,,,,,,-2,"500,000.00",,,,0,0
34,"{Stat}: +20 to Max
 Reliability: -10%",PSG_10004975,,,EngineerIconBuildStatUpRelDown34,2,All,2,Engineer,,,,20,-10,,,,,,,0,0
35,Adds a Random ""Great"" Component,PSG_10004976,,,EngineerIconRandom35,3,All,2,Engineer,,,,,,,,,,3,AddRandomLevelComponent,0,0
36,"Reliability: +2%
For: Each day in Production",PSG_10004977,,,EngineerIconEachDayReli,5,All,3,Engineer,,,,,,,,,,2,ReliabilityPerDayInProduction,0,0
37,"{Stat}: +40
Reliability: -10% 
During: Race",PSG_10004978,,,EngineerIconStatReliInRace37,4,All,3,Engineer,Race,,40,,-10,,,,,,,0,0
38,Risk Level: -1,PSG_10004979,,,EngineerIconRiskLevelDown38,4,All,4,Engineer,,-1,,,,,,,,,,0,0
40,"Reliability: +5%
For: Each day in Production",PSG_10004980,,,EngineerIconNoTime32,4,All,5,Engineer,,,,,,,,,,5,ReliabilityPerDayInProduction,0,0
41,Adds a Random ""Legendary"" Component,PSG_10004981,,,EngineerIconExtraSlot41,4,All,4,Engineer,,,,,,,,,,5,AddRandomLevelComponent,0,0
42,Max Performance: Instant,PSG_10004982,,,EngineerIconMaxPerformance42,4,All,5,Engineer,,,,,,,,,,,PerformanceAutoImproved,0,0
